name,source_type
Carcinoma-Non-Small-Cell Lung,2
Ischemia,2
Seizures,2
Uterine Neoplasms,2
Esophageal Neoplasms,2
Leukemia-Myeloid-Acute,2
Staphylococcal Infections,2
Acute Kidney Injury,2
Psoriasis,2
Crohn Disease,2
Lymphoma-Non-Hodgkin,2
Bipolar Disorder,2
Hemorrhage,2
Abnormalities-Multiple,2
Mental Retardation,2
Gastrointestinal Hemorrhage,2
Neoplasm Recurrence-Local,2
Glioma,2
Hypersensitivity,2
Atrial Fibrillation,2
Pneumonia,2
Fractures-Bone,2
Helicobacter Infections,2
Calcinosis,2
Psychotic Disorders,2
Heart Defects-Congenital,2
Spinal Cord Injuries,2
Common Cold,2
Angina Pectoris,2
Pulmonary Embolism,2
Urinary Tract Infections,2
Hepatitis,2
Colitis-Ulcerative,2
Fetal Diseases,2
Rectal Neoplasms,2
Cysts,2
Hepatitis B,2
Glomerulonephritis,2
Gallstones,2
Glaucoma,2
Leukemia-Myeloid,2
Respiratory Tract Infections,2
Anemia,2
Infection,2
Hypertension-Pulmonary,2
Mouth Neoplasms,2
Horse Diseases,2
Infant-Newborn-Diseases,2
Arterial Occlusive Diseases,2
Precursor Cell Lymphoblastic Leukemia-Lymphoma,2
Respiratory Insufficiency,2
Gastrointestinal Diseases,2
Toxemia,2
Malaria,2
Leukemia-Lymphoid,2
Testicular Neoplasms,2
Cardiomyopathies,2
Hyperthyroidism,2
Streptococcal Infections,2
Sarcoidosis,2
Carcinoma-Renal Cell,2
Pre-Eclampsia,2
Hypothyroidism,2
Peptic Ulcer,2
Osteoarthritis,2
Migraine Disorders,2
Hyperlipidemias,2
Cerebral Hemorrhage,2
Arthritis,2
Neuroblastoma,2
Down Syndrome,2
Attention Deficit Disorder with Hyperactivity,2
Precancerous Conditions,2
Pituitary Neoplasms,2
Neoplasms-Multiple Primary,2
Infertility-Female,2
Amyloidosis,2
Foreign Bodies,2
Muscular Diseases,2
Peripheral Nervous System Diseases,2
Lung Diseases-Obstructive,2
Laryngeal Neoplasms,2
Intestinal Obstruction,2
Stress Disorders-Post-Traumatic,2
Heart Arrest,2
Pulmonary Disease-Chronic Obstructive,2
Pregnancy Complications-Infectious,2
Cytomegalovirus Infections,2
Vascular Diseases,2
Cataract,2
Stomach Ulcer,2
Hemophilia A,2
Cholelithiasis,2
Hypercholesterolemia,2
Anemia-Sickle Cell,2
Duodenal Ulcer,2
Hepatitis C-Chronic,2
Shock-Septic,2
Intracranial Aneurysm,2
Scleroderma-Diffuse,2
Cat Diseases,2
Poultry Diseases,2
Anxiety Disorders,2
Ventricular Dysfunction-Left,2
Gastroesophageal Reflux,2
Peritonitis,2
Periodontal Diseases,2
Swine Diseases,2
AIDS-Related Opportunistic Infections,2
Scleroderma-Systemic,2
Depressive Disorder-Major,2
Infertility-Male,2
Adrenal Gland Neoplasms,2
Cross Infection,2
Sarcoma,2
Neovascularization-Pathologic,2
Leprosy,2
Thrombophlebitis,2
Wounds-Nonpenetrating,2
Thrombocytopenia,2
Mammary Neoplasms-Experimental,2
Abscess,2
Carcinoma-Small Cell,2
Autistic Disorder,2
Soft Tissue Neoplasms,2
Cell Transformation-Neoplastic,2
Uremia,2
Endometriosis,2
Malocclusion,2
Sheep Diseases,2
Rheumatic Diseases,2
Pain-Postoperative,2
Carcinoma-Transitional Cell,2
Celiac Disease,2
Candidiasis,2
Hypoglycemia,2
Heart Block,2
Dental Caries,2
Ischemic Attack-Transient,2
Influenza-Human,2
Deafness,2
Cardiomegaly,2
Vision Disorders,2
Angiolymphoid Hyperplasia with Eosinophilia,2
Carotid Artery Diseases,2
Respiratory Distress Syndrome-Adult,2
Endocarditis-Bacterial,2
Idiopathic Pulmonary Fibrosis,2
Granuloma,2
Leukemia-Myelogenous-Chronic-BCR-ABL Positive,2
Drug Hypersensitivity,2
Bronchitis,2
Venous Thrombosis,2
Diabetic Nephropathies,2
Osteomyelitis,2
Pulmonary Fibrosis,2
Headache,2
Dermatitis-Contact,2
Hemangioma,2
Prostatic Hyperplasia,2
Drug-Induced Liver Injury,2
Cholestasis,2
Radiation Injuries,2
Retinal Diseases,2
Muscular Dystrophies,2
Dermatitis-Atopic,2
Mycoses,2
Child Behavior Disorders,2
Craniocerebral Trauma,2
Gastritis,2
Liver Neoplasms-Experimental,2
Lymphoma-B-Cell,2
Nephrotic Syndrome,2
Escherichia coli Infections,2
Erectile Dysfunction,2
Atherosclerosis,2
Reperfusion Injury,2
Diabetic Retinopathy,2
Periodontitis,2
Substance Withdrawal Syndrome,2
Leukemia-Lymphocytic-Chronic-B-Cell,2
Meningitis,2
Endometrial Neoplasms,2
Subarachnoid Hemorrhage,2
Bone Diseases,2
Emphysema,2
Metabolic Syndrome X,2
Tachycardia,2
Anaphylaxis,2
Infant-Premature-Diseases,2
Myasthenia Gravis,2
Osteosarcoma,2
Hematoma,2
Graves Disease,2
Leiomyoma,2
Mouth Diseases,2
Bacteremia,2
Joint Diseases,2
Amyotrophic Lateral Sclerosis,2
Heart Neoplasms,2
Glioblastoma,2
Genital Diseases-Female,2
Cardiomyopathy-Dilated,2
Spinal Diseases,2
Inflammatory Bowel Diseases,2
Hyperglycemia,2
Aneurysm,2
Kidney Calculi,2
Sleep Apnea Syndromes,2
Nasopharyngeal Neoplasms,2
Cardiomyopathy-Hypertrophic,2
Thyroid Diseases,2
Otitis Media,2
HIV Seropositivity,2
Central Nervous System Diseases,2
Fatty Liver,2
Pseudomonas Infections,2
Chromosome Aberrations,2
Immunologic Deficiency Syndromes,2
Airway Obstruction,2
Genetic Predisposition to Disease,2
Gastrointestinal Neoplasms,2
Herpes Simplex,2
Meningioma,2
Appendicitis,2
Hepatitis A,2
Athletic Injuries,2
Pheochromocytoma,2
Myelodysplastic Syndromes,2
Pulmonary Edema,2
Tumor Virus Infections,2
Lymphoma-Large B-Cell-Diffuse,2
Colitis,2
Syphilis,2
Memory Disorders,2
Aortic Aneurysm,2
Teratoma,2
Growth Disorders,2
Rhinitis-Allergic-Seasonal,2
Sinusitis,2
Anemia-Aplastic,2
Hearing Loss-Sensorineural,2
Dislocations,2
Cerebral Palsy,2
Lymphatic Diseases,2
Nutrition Disorders,2
Pregnancy Complications-Cardiovascular,2
Encephalitis,2
Blood Coagulation Disorders,2
Sleep Disorders,2
Anorexia Nervosa,2
Diabetic Neuropathies,2
Malaria-Falciparum,2
Leukemia-Experimental,2
Colonic Diseases,2
Urinary Incontinence,2
Intestinal Diseases,2
Spondylitis-Ankylosing,2
Vasculitis,2
Myocarditis,2
Eosinophilia,2
Neutropenia,2
Thromboembolism,2
Chlamydia Infections,2
Sjogren's Syndrome,2
Diabetic Angiopathies,2
Ventricular Fibrillation,2
Hypertension-Renal,2
Carcinoma-Papillary,2
Mesothelioma,2
Hydrocephalus,2
Fish Diseases,2
Low Back Pain,2
Food Hypersensitivity,2
Peripheral Arterial Disease,2
Arteriovenous Fistula,2
Hyperparathyroidism,2
Hypertension-Portal,2
Obsessive-Compulsive Disorder,2
Drug Eruptions,2
Hypotension,2
Neoplasm Metastasis,2
Brain Damage-Chronic,2
Meningeal Neoplasms,2
Papillomavirus Infections,2
Pleural Effusion,2
Breast Diseases,2
Polycystic Ovary Syndrome,2
Paralysis,2
Peripheral Vascular Diseases,2
Personality Disorders,2
Thalassemia,2
Back Pain,2
Macular Degeneration,2
Learning Disorders,2
Dermatitis-Allergic Contact,2
Aspergillosis,2
Astrocytoma,2
Deglutition Disorders,2
Movement Disorders,2
Mediastinal Neoplasms,2
Aortic Valve Stenosis,2
Pyelonephritis,2
Carcinoma in Situ,2
Mitral Valve Insufficiency,2
Mitral Valve Stenosis,2
Acidosis,2
Nevus,2
Hepatitis B-Chronic,2
Fetal Growth Retardation,2
Surgical Wound Infection,2
Lipoma,2
Aneurysm-Dissecting,2
Schistosomiasis,2
Hearing Disorders,2
Intervertebral Disk Displacement,2
Cleft Palate,2
Lymphatic Metastasis,2
Genital Neoplasms-Female,2
Eye Neoplasms,2
Hypercalcemia,2
Developmental Disabilities,2
Pancreatic Diseases,2
Aortic Diseases,2
Pulmonary Emphysema,2
Spinal Cord Diseases,2
Congenital Abnormalities,2
Graft vs Host Disease,2
Shock-Hemorrhagic,2
Carcinoma-Basal Cell,2
Huntington Disease,2
Stomach Diseases,2
Temporomandibular Joint Disorders,2
Glaucoma-Open-Angle,2
Sleep Apnea-Obstructive,2
Gonorrhea,2
Blindness,2
Tachycardia-Ventricular,2
Carcinoma-Ductal-Breast,2
Neurilemmoma,2
Epilepsy-Temporal Lobe,2
Shock,2
Acne Vulgaris,2
Hypertrophy-Left Ventricular,2
Peritoneal Neoplasms,2
Scoliosis,2
Fistula,2
Carcinoma-Ehrlich Tumor,2
Carcinoid Tumor,2
Arthritis-Infectious,2
Cushing Syndrome,2
Neoplasms-Radiation-Induced,2
Respiratory Distress Syndrome-Newborn,2
Hypersensitivity-Immediate,2
Arthritis-Juvenile Rheumatoid,2
Neurotic Disorders,2
Pneumothorax,2
Carotid Stenosis,2
Behcet Syndrome,2
Uveitis,2
Encephalomyelitis-Autoimmune-Experimental,2
Gastroenteritis,2
Sarcoma-Kaposi,2
Fibroma,2
Hematologic Diseases,2
Hepatitis-Viral-Human,2
Proteinuria,2
Varicose Veins,2
Urticaria,2
Abdominal Injuries,2
Neuromuscular Diseases,2
Intestinal Neoplasms,2
Anemia-Hemolytic,2
Intestinal Perforation,2
Esophageal and Gastric Varices,2
Metabolism-Inborn Errors,2
Biliary Tract Diseases,2
Lead Poisoning,2
Neurofibromatosis 1,2
Herpesviridae Infections,2
Ureteral Obstruction,2
Hernia-Diaphragmatic,2
Bronchial Neoplasms,2
Fibrosarcoma,2
Urinary Calculi,2
Dental Plaque,2
Sarcoma-Experimental,2
Disseminated Intravascular Coagulation,2
Cholecystitis,2
Delirium-Dementia-Amnestic-Cognitive Disorders,2
Demyelinating Diseases,2
Eating Disorders,2
Osteoporosis-Postmenopausal,2
Hypersensitivity-Delayed,2
Echinococcosis,2
Phobic Disorders,2
Brain Edema,2
Ascites,2
Intraoperative Complications,2
Hepatic Encephalopathy,2
Opportunistic Infections,2
Pregnancy in Diabetics,2
Knee Injuries,2
Heart Valve Diseases,2
Radiation Injuries-Experimental,2
Retinal Detachment,2
Burkitt Lymphoma,2
Respiratory Hypersensitivity,2
Bile Duct Neoplasms,2
Primary Ovarian Insufficiency,2
Poliomyelitis,2
Bone Resorption,2
Thoracic Injuries,2
Pleural Neoplasms,2
Genetic Diseases-Inborn,2
Neurodegenerative Diseases,2
Nerve Compression Syndromes,2
Salmonella Infections,2
Mood Disorders,2
Pneumonia-Bacterial,2
Renal Artery Obstruction,2
Cough,2
Gout,2
Herpes Zoster,2
Spinal Neoplasms,2
Lung Diseases-Fungal,2
Neoplasms-Second Primary,2
Urination Disorders,2
Facial Paralysis,2
Choristoma,2
Gonadal Dysgenesis,2
Strabismus,2
Myocardial Reperfusion Injury,2
Lyme Disease,2
Hemochromatosis,2
Puerperal Disorders,2
Corneal Diseases,2
Coma,2
Angina-Unstable,2
Syncope,2
Rodent Diseases,2
Heart Septal Defects-Atrial,2
Toxoplasmosis,2
Dizziness,2
Paraplegia,2
Papilloma,2
Dyspnea,2
Typhoid Fever,2
Alcoholic Intoxication,2
Ophthalmoplegia,2
Duodenal Diseases,2
Aortic Aneurysm-Abdominal,2
Antiphospholipid Syndrome,2
Agranulocytosis,2
Esophageal Diseases,2
Pemphigus,2
Wilms Tumor,2
Liver Cirrhosis-Biliary,2
beta-Thalassemia,2
Chagas Disease,2
Cicatrix,2
Dermatitis-Occupational,2
Pigmentation Disorders,2
Urinary Bladder Diseases,2
Urologic Diseases,2
Lymphoproliferative Disorders,2
Nerve Degeneration,2
Sleep Initiation and Maintenance Disorders,2
Chronic Disease,2
Epilepsies-Partial,2
Foot Diseases,2
Thymus Neoplasms,2
Renal Insufficiency,2
Retroperitoneal Neoplasms,2
Acromegaly,2
Aphasia,2
Intracranial Embolism and Thrombosis,2
Joint Instability,2
Pregnancy-Ectopic,2
Autonomic Nervous System Diseases,2
Carcinoma-Bronchogenic,2
Eye Injuries,2
Retinal Degeneration,2
Nose Neoplasms,2
Rheumatic Heart Disease,2
Wounds-Gunshot,2
Myopia,2
Osteoarthritis-Knee,2
Rhinitis-Allergic-Perennial,2
Porphyrias,2
Poisoning,2
Bird Diseases,2
Anemia-Hypochromic,2
Spinal Cord Neoplasms,2
Intestinal Fistula,2
Myositis,2
Dystonia,2
Rhabdomyosarcoma,2
Bronchial Diseases,2
Arthritis-Experimental,2
Neoplasms-Germ Cell and Embryonal,2
Salivary Gland Neoplasms,2
Aortic Valve Insufficiency,2
Cerebellar Neoplasms,2
Spinal Cord Compression,2
Brucellosis,2
Abortion-Spontaneous,2
Coronary Stenosis,2
Substance Abuse-Intravenous,2
Wounds-Penetrating,2
Speech Disorders,2
Coronary Vessel Anomalies,2
Infectious Mononucleosis,2
Plasmacytoma,2
Pneumonia-Pneumocystis,2
Vaccinia,2
Melanoma-Experimental,2
Pneumococcal Infections,2
Rheumatic Fever,2
Amenorrhea,2
Obstetric Labor-Premature,2
Leiomyosarcoma,2
Embolism,2
Somatoform Disorders,2
Hamartoma,2
Hematologic Neoplasms,2
Abnormalities-Drug-Induced,2
Cleft Lip,2
Aneurysm-False,2
Turner Syndrome,2
Rhinitis,2
Dermatomycoses,2
Bundle-Branch Block,2
Hemiplegia,2
Wegener Granulomatosis,2
Orbital Neoplasms,2
Arteriovenous Malformations,2
Hyponatremia,2
Leukemia-Promyelocytic-Acute,2
Fibromyalgia,2
Abdominal Neoplasms,2
Dyslexia,2
Muscular Atrophy,2
Mandibular Neoplasms,2
Pregnancy Complications-Hematologic,2
Hearing Loss,2
Cervical Intraepithelial Neoplasia,2
Neuralgia,2
Multiple Trauma,2
Nevus-Pigmented,2
Leishmaniasis-Visceral,2
Communicable Diseases,2
Parotid Neoplasms,2
Hypertension-Renovascular,2
Pericarditis,2
Protein-Energy Malnutrition,2
Gram-Negative Bacterial Infections,2
Hypogonadism,2
Optic Nerve Diseases,2
Phenylketonurias,2
Intracranial Arteriovenous Malformations,2
Brain Abscess,2
Albuminuria,2
Panic Disorder,2
Hypoxia-Brain,2
Sexually Transmitted Diseases,2
Tibial Fractures,2
Thyroiditis-Autoimmune,2
Retinitis Pigmentosa,2
Gram-Positive Bacterial Infections,2
Hyperlipoproteinemia Type II,2
Dyskinesia-Drug-Induced,2
Fetal Death,2
Amebiasis,2
Dermatomyositis,2
Malabsorption Syndromes,2
Carcinoma-Intraductal-Noninfiltrating,2
Spinal Fractures,2
Tongue Neoplasms,2
Polyps,2
Retinoblastoma,2
Giant Cell Arteritis,2
Infertility,2
Splenic Diseases,2
Graft Occlusion-Vascular,2
Status Epilepticus,2
Sexual Dysfunction-Physiological,2
Lung Diseases-Interstitial,2
Barrett Esophagus,2
Vulvar Neoplasms,2
Skin Diseases-Vesiculobullous,2
Hyperaldosteronism,2
Myxoma,2
Hematuria,2
Long QT Syndrome,2
Mycobacterium Infections,2
Hand Dermatoses,2
Adenocarcinoma-Mucinous,2
Measles,2
Vertigo,2
Leg Ulcer,2
Mastitis-Bovine,2
Histiocytoma,2
Bronchial Hyperreactivity,2
Intussusception,2
Diverticulum,2
Meningitis-Bacterial,2
Pregnancy Complications-Neoplastic,2
Glomerulonephritis-IGA,2
Histiocytoma-Benign Fibrous,2
Lymphedema,2
Amino Acid Metabolism-Inborn Errors,2
Gallbladder Neoplasms,2
Bradycardia,2
Femoral Fractures,2
Obstetric Labor Complications,2
Alopecia,2
Jaundice,2
Enterocolitis-Pseudomembranous,2
Keratitis,2
Thymoma,2
Purpura-Thrombocytopenic,2
Tremor,2
Hydronephrosis,2
Death-Sudden,2
Facial Dermatoses,2
Cryptococcosis,2
Diabetes Insipidus,2
Eczema,2
Carpal Tunnel Syndrome,2
Pain-Intractable,2
Lymphoma-T-Cell,2
Parathyroid Neoplasms,2
Mucocutaneous Lymph Node Syndrome,2
Pruritus,2
Goiter,2
Erythroblastosis-Fetal,2
Mandibular Diseases,2
Hallucinations,2
Skull Fractures,2
Metabolic Diseases,2
Vesico-Ureteral Reflux,2
Pharyngitis,2
Paraneoplastic Syndromes,2
Amnesia,2
Foreign-Body Migration,2
Heart Septal Defects-Ventricular,2
Sudden Infant Death,2
Rectal Diseases,2
Hyperalgesia,2
Paranasal Sinus Neoplasms,2
Tetanus,2
Skin Ulcer,2
Asphyxia Neonatorum,2
Hypokalemia,2
Anemia-Hemolytic-Autoimmune,2
Pericardial Effusion,2
Erythema,2
Cystitis,2
Amblyopia,2
Hepatolenticular Degeneration,2
Laryngeal Diseases,2
Dehydration,2
Chickenpox,2
Heart Aneurysm,2
Salmonella Infections-Animal,2
Neurocirculatory Asthenia,2
Wound Infection,2
Histiocytosis-Langerhans-Cell,2
Vitamin D Deficiency,2
Hemangiosarcoma,2
Cryptorchidism,2
Cerebellar Diseases,2
Neoplasms-Hormone-Dependent,2
Dermatitis,2
Keratosis,2
Gingivitis,2
Esophageal Stenosis,2
Endophthalmitis,2
Hepatitis-Chronic,2
Multiple Organ Failure,2
Fatigue Syndrome-Chronic,2
Tendon Injuries,2
Acute Coronary Syndrome,2
Coronary Thrombosis,2
Tuberculosis-Meningeal,2
Schistosomiasis mansoni,2
Obesity-Morbid,2
Raynaud Disease,2
Hypopituitarism,2
Nephritis,2
Tuberous Sclerosis,2
Hyperinsulinism,2
Language Disorders,2
Cardiac Output-Low,2
Photosensitivity Disorders,2
Myotonic Dystrophy,2
Muscle Weakness,2
Purpura-Thrombocytopenic-Idiopathic,2
Disorders of Sex Development,2
Tonsillitis,2
Meniere Disease,2
Cellulitis,2
Urinary Bladder-Neurogenic,2
Hemangioma-Cavernous,2
Jaundice-Neonatal,2
Orbital Diseases,2
Dysentery-Bacillary,2
Prosthesis-Related Infections,2
Listeriosis,2
Sarcoma-Ewing's,2
Antisocial Personality Disorder,2
Skull Neoplasms,2
Cocaine-Related Disorders,2
Anemia-Iron-Deficiency,2
Heroin Dependence,2
Polyarteritis Nodosa,2
Intestinal Diseases-Parasitic,2
Perceptual Disorders,2
Li-Fraumeni Syndrome,2
Aortic Coarctation,2
Uterine Diseases,2
Adrenal Hyperplasia-Congenital,2
Ileal Diseases,2
Borderline Personality Disorder,2
Tobacco Use Disorder,2
Ossification-Heterotopic,2
Osteitis Deformans,2
Pulmonary Heart Disease,2
Ureteral Calculi,2
Polycystic Kidney Diseases,2
Ductus Arteriosus-Patent,2
Aortic Rupture,2
Agammaglobulinemia,2
Primary Myelofibrosis,2
Community-Acquired Infections,2
Abortion-Habitual,2
Hemolytic-Uremic Syndrome,2
Choriocarcinoma,2
Cardiac Tamponade,2
Spinal Injuries,2
Temporomandibular Joint Dysfunction Syndrome,2
Infarction,2
Pharyngeal Neoplasms,2
Rhabdomyolysis,2
Nephritis-Interstitial,2
Bacteriuria,2
Collagen Diseases,2
Intermittent Claudication,2
Otitis Media with Effusion,2
Tinnitus,2
Facial Neoplasms,2
Hematoma-Subdural,2
Silicosis,2
Polycythemia Vera,2
Bone Diseases-Metabolic,2
Opioid-Related Disorders,2
Burns-Chemical,2
Creutzfeldt-Jakob Syndrome,2
Fragile X Syndrome,2
von Willebrand Diseases,2
Prostatitis,2
Epstein-Barr Virus Infections,2
Osteonecrosis,2
Leukemia L1210,2
Medulloblastoma,2
Liver Cirrhosis-Alcoholic,2
Uterine Hemorrhage,2
Pelvic Neoplasms,2
Embolism-Air,2
Lichen Planus,2
Hip Dislocation-Congenital,2
Diabetes-Gestational,2
Meningoencephalitis,2
Neural Tube Defects,2
Gallbladder Diseases,2
Diseases in Twins,2
Myeloproliferative Disorders,2
Rubella,2
Optic Neuritis,2
Mycosis Fungoides,2
Adenoma-Islet Cell,2
Respiration Disorders,2
Parkinsonian Disorders,2
Tachycardia-Supraventricular,2
Dwarfism,2
Fecal Incontinence,2
Mycobacterium Infections-Atypical,2
Myoclonus,2
Ear Diseases,2
Intestinal Polyps,2
Dysgerminoma,2
Synovitis,2
Heart Injuries,2
Delirium,2
Enteritis,2
Marfan Syndrome,2
Diabetic Ketoacidosis,2
Venous Insufficiency,2
Pneumoconiosis,2
Nystagmus-Pathologic,2
Urinary Incontinence-Stress,2
Apnea,2
Enterobacteriaceae Infections,2
Eyelid Diseases,2
Polyradiculoneuropathy,2
Duodenal Neoplasms,2
Leukemia-Erythroblastic-Acute,2
Shock-Cardiogenic,2
Lupus Nephritis,2
Colonic Polyps,2
Paraproteinemias,2
Campylobacter Infections,2
Choroid Neoplasms,2
Neoplasm Invasiveness,2
Endocarditis,2
Diabetic Foot,2
Muscle Spasticity,2
Histoplasmosis,2
Wolff-Parkinson-White Syndrome,2
Diabetes Complications,2
Hearing Loss-Noise-Induced,2
Pressure Ulcer,2
Purpura-Thrombotic Thrombocytopenic,2
Chondrosarcoma,2
Lymphoma-Follicular,2
Thoracic Neoplasms,2
Leishmaniasis-Cutaneous,2
Pleural Diseases,2
Genital Diseases-Male,2
Sexual Dysfunctions-Psychological,2
Quadriplegia,2
Colonic Diseases-Functional,2
Bone Diseases-Developmental,2
Polyneuropathies,2
Haemophilus Infections,2
Voice Disorders,2
Adrenal Cortex Neoplasms,2
Maxillary Neoplasms,2
Aneurysm-Ruptured,2
Monkey Diseases,2
Skin Diseases-Infectious,2
Tourette Syndrome,2
Angioedema,2
Hypocalcemia,2
Polycythemia,2
Malocclusion-Angle Class II,2
Ulcer,2
Gaucher Disease,2
Death-Sudden-Cardiac,2
Vitamin B 12 Deficiency,2
Adrenal Gland Diseases,2
Thrombophilia,2
Osteochondrodysplasias,2
Basal Ganglia Diseases,2
Kidney Diseases-Cystic,2
Vitiligo,2
Actinomycosis,2
Oligospermia,2
Parkinson Disease-Secondary,2
Meningococcal Infections,2
Connective Tissue Diseases,2
Eye Infections-Bacterial,2
Purpura-Schoenlein-Henoch,2
Language Development Disorders,2
Adenomatous Polyposis Coli,2
Tuberculosis-Osteoarticular,2
Mitral Valve Prolapse,2
Anemia-Pernicious,2
Hypotension-Orthostatic,2
Esophageal Achalasia,2
Orthomyxoviridae Infections,2
Bites and Stings,2
Starvation,2
Liver Diseases-Alcoholic,2
Trigeminal Neuralgia,2
Ovarian Diseases,2
Waldenstrom Macroglobulinemia,2
Nail Diseases,2
Menstruation Disturbances,2
Refractive Errors,2
Filariasis,2
Sex Chromosome Aberrations,2
Hyperkalemia,2
Lymphoma-B-Cell-Marginal Zone,2
Parotitis,2
Cholangiocarcinoma,2
Ear Neoplasms,2
Fanconi Syndrome,2
Anus Neoplasms,2
Hypertrichosis,2
Adrenal Insufficiency,2
Mycoplasma Infections,2
Echinococcosis-Hepatic,2
Tachycardia-Paroxysmal,2
Muscular Dystrophy-Animal,2
Hip Fractures,2
Central Nervous System Neoplasms,2
Femur Head Necrosis,2
Esophagitis,2
Leukemia-Lymphoma-Adult T-Cell,2
Glomerulosclerosis-Focal Segmental,2
Carcinoma-Adenoid Cystic,2
Bone Marrow Diseases,2
Osteogenesis Imperfecta,2
Liver Cirrhosis-Experimental,2
Bronchiectasis,2
Leukemia-Hairy Cell,2
Psychoses-Substance-Induced,2
Leishmaniasis,2
Ataxia,2
Aortic Aneurysm-Thoracic,2
Enuresis,2
Carbon Monoxide Poisoning,2
Choroidal Neovascularization,2
Atrial Flutter,2
Nasal Polyps,2
Liver Abscess,2
Foot Dermatoses,2
Leg Injuries,2
Pelvic Infection,2
Condylomata Acuminata,2
Cholestasis-Intrahepatic,2
Xanthomatosis,2
Coronary Vasospasm,2
Glucose Intolerance,2
Whooping Cough,2
Irritable Bowel Syndrome,2
Facial Pain,2
Peptic Ulcer Hemorrhage,2
Hemoptysis,2
Rickets,2
Peripheral Nervous System Neoplasms,2
Compartment Syndromes,2
Intracranial Arteriosclerosis,2
Tuberculosis-Lymph Node,2
Dementia-Vascular,2
Urethritis,2
Hand Injuries,2
Puberty-Precocious,2
Lymphangioma,2
Osteochondritis,2
Ocular Hypertension,2
Critical Illness,2
Malignant Hyperthermia,2
Neuroma-Acoustic,2
Protein Deficiency,2
Conjunctivitis,2
Disease,2
Hydatidiform Mole,2
Premenstrual Syndrome,2
Ovarian Cysts,2
Pelvic Inflammatory Disease,2
Legionnaires' Disease,2
Dengue,2
Cholera,2
Motor Neuron Disease,2
Snake Bites,2
Cholangitis,2
Hernia-Inguinal,2
Hypertriglyceridemia,2
Fractures-Spontaneous,2
Liver Failure,2
Gastrointestinal Stromal Tumors,2
Spasm,2
Gastric Outlet Obstruction,2
Klebsiella Infections,2
Vaginal Neoplasms,2
Magnesium Deficiency,2
Penile Neoplasms,2
Addison Disease,2
Neuroendocrine Tumors,2
Insect Bites and Stings,2
Peritoneal Diseases,2
Esophagitis-Peptic,2
Cerebellar Ataxia,2
Corneal Ulcer,2
Chorea,2
Ureteral Diseases,2
Infarction-Middle Cerebral Artery,2
Hypoxia-Ischemia-Brain,2
Testicular Diseases,2
Vocal Cord Paralysis,2
Respiratory Syncytial Virus Infections,2
Multiple Sclerosis-Relapsing-Remitting,2
Hyperparathyroidism-Secondary,2
Osteomalacia,2
Placenta Diseases,2
Trichinellosis,2
Reflex Sympathetic Dystrophy,2
Glucosephosphate Dehydrogenase Deficiency,2
Vitamin A Deficiency,2
Nose Diseases,2
Coronary Restenosis,2
Stomatitis,2
Jaw Diseases,2
Pneumonia-Viral,2
Spinal Dysraphism,2
Herpes Genitalis,2
Trypanosomiasis-African,2
Pharyngeal Diseases,2
Radius Fractures,2
Lymphadenitis,2
Ascariasis,2
Arthritis-Reactive,2
Liver Failure-Acute,2
Purpura,2
Tinea,2
Tooth Fractures,2
Epidermal Cyst,2
Toxoplasmosis-Animal,2
Splenic Neoplasms,2
