name,source,source_type
Underbite,CHAT ,1
Unequal Pupils,CHAT ,1
Unilateral Hearing Loss,CHAT ,1
Unintentional Weight Gain,CHAT ,1
Unpredictable- Repetitive Movements,CHAT ,1
Unsteady Gait,CHAT ,1
Urethral Pain,CHAT ,1
Urge Incontinence,CHAT ,1
Urinary Hesitation,CHAT ,1
Urinary Stress Incontinence,CHAT ,1
Urinary Urgency,CHAT ,1
Urine Color Abnormal,CHAT ,1
Urine Looks Dark,CHAT ,1
Urine Smell Abnormal,CHAT ,1
Vaginal Bleeding Between Periods,CHAT ,1
Vaginal Discharge,CHAT ,1
Vaginal Dryness,CHAT ,1
Vaginal Infections,CHAT ,1
Vaginal Itching,CHAT ,1
Vaginal Pain,CHAT ,1
Visual Disturbance,CHAT ,1
Vitreous Floaters,CHAT ,1
Vomiting Blood,CHAT ,1
Vomiting Coffee-Ground Like Material,CHAT ,1
Vomiting Up Bowel Contents,CHAT ,1
Wandering- Nocturnal,CHAT ,1
Wasp Sting,CHAT ,1
Watery Eyes,CHAT ,1
Watery Stool,CHAT ,1
Weak Bladder,CHAT ,1
Weak Muscles,CHAT ,1
Weak Pulse,CHAT ,1
Weary,CHAT ,1
Webbed Toes,CHAT ,1
Webbing Of Fingers,CHAT ,1
Weight Increase,CHAT ,1
Wetting The Bed,CHAT ,1
Wheezing,CHAT ,1
Whiteheads,CHAT ,1
Wooziness,CHAT ,1
Wrist Pain,CHAT ,1
Yawns Too Much,CHAT ,1
Yellow Eyes,CHAT ,1
White patches on skin,CHAT ,1
Aging-Premature,MESH,2
Asthenia,MESH,2
Fever,MESH,2
Fever of Unknown Origin,MESH,2
Sweating Sickness,MESH,2
Hypothermia,MESH,2
Body Weight,MESH,2
Birth Weight,MESH,2
Fetal Macrosomia,MESH,2
Body Weight Changes,MESH,2
Weight Gain,MESH,2
Weight Loss,MESH,2
Emaciation,MESH,2
Cachexia,MESH,2
Fetal Weight,MESH,2
Overweight,MESH,2
Obesity,MESH,2
Obesity-Morbid,MESH,2
Thinness,MESH,2
Cardiac Output-High,MESH,2
Cardiac Output-Low,MESH,2
Chills,MESH,2
Cyanosis,MESH,2
Infantile Apparent Life-Threatening Event,MESH,2
Edema,MESH,2
Edema-Cardiac,MESH,2
Hydrops Fetalis,MESH,2
Eye Manifestations,MESH,2
Eye Hemorrhage,MESH,2
Eye Pain,MESH,2
Susac Syndrome,MESH,2
Fatigue,MESH,2
Mental Fatigue,MESH,2
Feminization,MESH,2
Fetal Distress,MESH,2
Flushing,MESH,2
Heart Murmurs,MESH,2
Systolic Murmurs,MESH,2
Hot Flashes,MESH,2
Hypergammaglobulinemia,MESH,2
Intermittent Claudication,MESH,2
Mobility Limitation,MESH,2
Motion Sickness,MESH,2
Space Motion Sickness,MESH,2
Neurologic Manifestations,MESH,2
Cerebrospinal Fluid Otorrhea,MESH,2
Cerebrospinal Fluid Rhinorrhea,MESH,2
Decerebrate State,MESH,2
Dyskinesias,MESH,2
Ataxia,MESH,2
Cerebellar Ataxia,MESH,2
Gait Ataxia,MESH,2
Athetosis,MESH,2
Catalepsy,MESH,2
Chorea,MESH,2
Dystonia,MESH,2
Torticollis,MESH,2
Hyperkinesis,MESH,2
Hypokinesia,MESH,2
Myoclonus,MESH,2
Psychomotor Agitation,MESH,2
Akathisia-Drug-Induced,MESH,2
Synkinesis,MESH,2
Tics,MESH,2
Tremor,MESH,2
Gait Disorders-Neurologic,MESH,2
Gait Apraxia,MESH,2
Meningism,MESH,2
Neurobehavioral Manifestations,MESH,2
Apraxias,MESH,2
Alien Hand Syndrome,MESH,2
Catatonia,MESH,2
Communication Disorders,MESH,2
Language Disorders,MESH,2
Agraphia,MESH,2
Anomia,MESH,2
Dyslexia,MESH,2
Dyslexia-Acquired,MESH,2
Alexia-Pure,MESH,2
Language Development Disorders,MESH,2
Speech Disorders,MESH,2
Aphasia,MESH,2
Aphasia-Broca,MESH,2
Aphasia-Conduction,MESH,2
Aphasia-Primary Progressive,MESH,2
Primary Progressive Nonfluent Aphasia,MESH,2
Aphasia-Wernicke,MESH,2
Articulation Disorders,MESH,2
Dysarthria,MESH,2
Echolalia,MESH,2
Mutism,MESH,2
Stuttering,MESH,2
Learning Disorders,MESH,2
Confusion,MESH,2
Delirium,MESH,2
Consciousness Disorders,MESH,2
Unconsciousness,MESH,2
Coma,MESH,2
Persistent Vegetative State,MESH,2
Stupor,MESH,2
Syncope,MESH,2
Syncope-Vasovagal,MESH,2
Lethargy,MESH,2
Memory Disorders,MESH,2
Amnesia,MESH,2
Amnesia-Anterograde,MESH,2
Amnesia-Retrograde,MESH,2
Amnesia-Transient Global,MESH,2
Korsakoff Syndrome,MESH,2
Mental Retardation,MESH,2
Perceptual Disorders,MESH,2
Agnosia,MESH,2
Gerstmann Syndrome,MESH,2
Prosopagnosia,MESH,2
Auditory Perceptual Disorders,MESH,2
Hallucinations,MESH,2
Illusions,MESH,2
Phantom Limb,MESH,2
Psychomotor Disorders,MESH,2
Apraxia-Ideomotor,MESH,2
Fasciculation,MESH,2
Muscle Cramp,MESH,2
Muscle Hypertonia,MESH,2
Muscle Rigidity,MESH,2
Muscle Spasticity,MESH,2
Muscle Hypotonia,MESH,2
Muscle Weakness,MESH,2
Muscular Atrophy,MESH,2
Sarcopenia,MESH,2
Myokymia,MESH,2
Myotonia,MESH,2
Spasm,MESH,2
Hemifacial Spasm,MESH,2
Trismus,MESH,2
Tetany,MESH,2
Orthostatic Intolerance,MESH,2
Pain,MESH,2
Back Pain,MESH,2
Low Back Pain,MESH,2
Facial Pain,MESH,2
Headache,MESH,2
Slit Ventricle Syndrome,MESH,2
Labor Pain,MESH,2
Metatarsalgia,MESH,2
Neck Pain,MESH,2
Neuralgia,MESH,2
Neuralgia-Postherpetic,MESH,2
Piriformis Muscle Syndrome,MESH,2
Sciatica,MESH,2
Pain-Intractable,MESH,2
Pain-Referred,MESH,2
Paralysis,MESH,2
Facial Paralysis,MESH,2
Gastroparesis,MESH,2
Hemiplegia,MESH,2
Ophthalmoplegia,MESH,2
Ophthalmoplegia-Chronic Progressive External,MESH,2
Supranuclear Palsy-Progressive,MESH,2
Paraplegia,MESH,2
Brown-Sequard Syndrome,MESH,2
Pseudobulbar Palsy,MESH,2
Quadriplegia,MESH,2
Respiratory Paralysis,MESH,2
Vocal Cord Paralysis,MESH,2
Paresis,MESH,2
Paraparesis,MESH,2
Paraparesis-Spastic,MESH,2
Psychophysiologic Disorders,MESH,2
Pupil Disorders,MESH,2
Anisocoria,MESH,2
Miosis,MESH,2
Horner Syndrome,MESH,2
Tonic Pupil,MESH,2
Reflex-Abnormal,MESH,2
Reflex-Babinski,MESH,2
Seizures,MESH,2
Sensation Disorders,MESH,2
Dizziness,MESH,2
Hearing Disorders,MESH,2
Hearing Loss,MESH,2
Deafness,MESH,2
Deaf-Blind Disorders,MESH,2
Hearing Loss-Bilateral,MESH,2
Hearing Loss-Conductive,MESH,2
Hearing Loss-Functional,MESH,2
Hearing Loss-High-Frequency,MESH,2
Hearing Loss-Mixed Conductive-Sensorineural,MESH,2
Hearing Loss-Sensorineural,MESH,2
Hearing Loss-Central,MESH,2
Hearing Loss-Noise-Induced,MESH,2
Presbycusis,MESH,2
Usher Syndromes,MESH,2
Hearing Loss-Sudden,MESH,2
Hearing Loss-Unilateral,MESH,2
Hyperacusis,MESH,2
Tinnitus,MESH,2
Olfaction Disorders,MESH,2
Somatosensory Disorders,MESH,2
Hyperalgesia,MESH,2
Hyperesthesia,MESH,2
Hypesthesia,MESH,2
Paresthesia,MESH,2
Taste Disorders,MESH,2
Ageusia,MESH,2
Dysgeusia,MESH,2
Vision Disorders,MESH,2
Amblyopia,MESH,2
Blindness,MESH,2
Amaurosis Fugax,MESH,2
Blindness-Cortical,MESH,2
Color Vision Defects,MESH,2
Diplopia,MESH,2
Hemianopsia,MESH,2
Photophobia,MESH,2
Scotoma,MESH,2
Vision-Low,MESH,2
Sleep Disorders,MESH,2
Sleep Deprivation,MESH,2
Urinary Bladder-Neurogenic,MESH,2
Vertigo,MESH,2
Voice Disorders,MESH,2
Aphonia,MESH,2
Dysphonia,MESH,2
Hoarseness,MESH,2
Oral Manifestations,MESH,2
Oral Hemorrhage,MESH,2
Abdominal Pain,MESH,2
Abdomen-Acute,MESH,2
Colic,MESH,2
Renal Colic,MESH,2
Arthralgia,MESH,2
Shoulder Pain,MESH,2
Chest Pain,MESH,2
Angina Pectoris,MESH,2
Acute Coronary Syndrome,MESH,2
Angina-Unstable,MESH,2
Angina Pectoris-Variant,MESH,2
Earache,MESH,2
Toothache,MESH,2
Flank Pain,MESH,2
Glossalgia,MESH,2
Pain-Postoperative,MESH,2
Pelvic Pain,MESH,2
Dysmenorrhea,MESH,2
Pseudophakia,MESH,2
Reticulocytosis,MESH,2
Aerophagy,MESH,2
Anorexia,MESH,2
Constipation,MESH,2
Coprophagia,MESH,2
Diarrhea,MESH,2
Diarrhea-Infantile,MESH,2
Dyspepsia,MESH,2
Encopresis,MESH,2
Eructation,MESH,2
Flatulence,MESH,2
Gagging,MESH,2
Halitosis,MESH,2
Heartburn,MESH,2
Hiccup,MESH,2
Hyperphagia,MESH,2
Bulimia,MESH,2
Nausea,MESH,2
Postoperative Nausea and Vomiting,MESH,2
Vomiting,MESH,2
Hematemesis,MESH,2
Morning Sickness,MESH,2
Hyperemesis Gravidarum,MESH,2
Vomiting-Anticipatory,MESH,2
Anoxia,MESH,2
Fetal Hypoxia,MESH,2
Apnea,MESH,2
Cheyne-Stokes Respiration,MESH,2
Cough,MESH,2
Dyspnea,MESH,2
Dyspnea-Paroxysmal,MESH,2
Hemoptysis,MESH,2
Hypercapnia,MESH,2
Hyperoxia,MESH,2
Hyperventilation,MESH,2
Hypocapnia,MESH,2
Hypoventilation,MESH,2
Mouth Breathing,MESH,2
Respiratory Aspiration,MESH,2
Respiratory Sounds,MESH,2
Snoring,MESH,2
Sneezing,MESH,2
Skin Manifestations,MESH,2
Cafe-au-Lait Spots,MESH,2
Ecchymosis,MESH,2
Jaundice,MESH,2
Jaundice-Obstructive,MESH,2
Livedo Reticularis,MESH,2
Necrolytic Migratory Erythema,MESH,2
Pallor,MESH,2
Pruritus,MESH,2
Tinea Pedis,MESH,2
Purpura,MESH,2
Purpura Fulminans,MESH,2
Purpura-Hyperglobulinemic,MESH,2
Purpura-Schoenlein-Henoch,MESH,2
Purpura-Thrombocytopenic,MESH,2
Purpura-Thrombocytopenic-Idiopathic,MESH,2
Purpura-Thrombotic Thrombocytopenic,MESH,2
Waterhouse-Friderichsen Syndrome,MESH,2
Striae Distensae,MESH,2
Dysuria,MESH,2
Hypercalciuria,MESH,2
Nocturia,MESH,2
Oliguria,MESH,2
Polyuria,MESH,2
Prostatism,MESH,2
Proteinuria,MESH,2
Albuminuria,MESH,2
Hemoglobinuria,MESH,2
Urinary Bladder-Overactive,MESH,2
Urinary Incontinence,MESH,2
Urinary Incontinence-Stress,MESH,2
Urinary Incontinence-Urge,MESH,2
Urinoma,MESH,2
Virilism,MESH,2
Hirsutism,MESH,2
